arrival_time (minutes),p1 throughput,p2 throughput,p3 throughput
2831.202642958735895504563710,94,68,69
2832.254984690991702576457793,94,68,69
2832.254984690991702576457793,94,68,69
2835.208212267387186848038860,94,68,69
2835.208212267387186848038860,94,68,69
2835.568456768110318980818940,94,68,69
2835.568456768110318980818940,94,68,69
2836.466978251481247006783074,95,68,69
2836.466978251481247006783074,95,68,69
2836.537701087045905976925279,95,68,69
2836.537701087045905976925279,95,68,69
2839.112654206421984651870227,95,68,69
2839.352057045847424591317187,95,68,70
2839.352057045847424591317187,95,68,70
2839.352057045847424591317187,95,68,70
2842.772719492936095162850289,95,68,70
2842.772719492936095162850289,95,68,70
2843.750270104748888892048919,95,68,71
2843.750270104748888892048919,95,68,71
2851.559968393079357754787972,95,68,71
2851.559968393079357754787972,95,68,71
2852.478864178161013851809695,96,68,71
2852.478864178161013851809695,96,68,71
2854.813994634568513567712822,96,69,71
2854.813994634568513567712822,96,69,71
2858.153888610284978969572345,96,70,71
2858.153888610284978969572345,96,70,71
2877.314206242638040925824194,96,70,71
2877.314206242638040925824194,96,70,71
2884.139546560279538665373148,96,70,71
2884.139546560279538665373148,96,70,71
2889.284854294299220887399552,96,71,71
2889.284854294299220887399552,96,71,71
2890.342098187579655991369387,96,71,71
2890.342098187579655991369387,96,71,71
2899.371476668931476082025948,96,71,71
2899.371476668931476082025948,96,71,71
2908.924935948656188947764045,96,71,71
2908.924935948656188947764045,96,71,71
2909.734379031760512288929714,96,71,71
2909.734379031760512288929714,96,71,71
2914.686773635720873968507627,96,71,72
2914.686773635720873968507627,96,71,72
2917.488888790551123617934319,97,71,72
2917.488888790551123617934319,97,71,72
2925.308602413358909536539309,97,71,72
2925.308602413358909536539309,97,71,72
2930.241846469221504276948291,97,71,72
2930.241846469221504276948291,97,71,72
2936.674813517438053798503698,97,71,72
2936.674813517438053798503698,97,71,72
2943.565255799150422070381560,97,71,72
2943.565255799150422070381560,97,71,72
2947.590954581308986879651694,97,71,72
2947.590954581308986879651694,97,71,72
2949.180800915866027709700585,98,71,72
2949.180800915866027709700585,98,71,72
2952.017170838148498466569673,98,71,72
2952.017170838148498466569673,98,71,72
2964.867650718429307586166725,98,72,72
2964.867650718429307586166725,98,72,72
2967.497252474227121774919861,98,72,72
2967.497252474227121774919861,98,72,72
2967.506338330101382359305954,98,72,72
2967.506338330101382359305954,98,72,72
2968.821959448574039078933006,98,72,73
2968.821959448574039078933006,98,72,73
2977.399715909881285645145236,98,72,73
2977.399715909881285645145236,98,72,73
2980.306544362301476256750003,99,72,73
2980.306544362301476256750003,99,72,73
2985.918937020901960897379705,99,72,73
2985.918937020901960897379705,99,72,73
2997.294900844914761604332635,99,73,73
2997.294900844914761604332635,99,73,73
2997.420345549473131361640536,99,73,73
2997.420345549473131361640536,99,73,73
2998.988372864343999910975195,99,74,73
2998.988372864343999910975195,99,74,73
3001.959668143468794985540863,99,74,73
3001.959668143468794985540863,99,74,73
3010.700584166276110485217269,99,74,73
3010.700584166276110485217269,99,74,73
3011.699244132802020644025002,100,74,73
3011.699244132802020644025002,100,74,73
3015.732673391666464899675030,100,74,73
3015.732673391666464899675030,100,74,73
3021.438073249618813063467097,100,74,73
3021.438073249618813063467097,100,74,73
3021.979947083052291010641692,100,74,73
3021.979947083052291010641692,100,74,73
3026.744917126979222919192817,100,75,73
3026.744917126979222919192817,100,75,73
3030.038307043552715367763266,100,75,73
3030.038307043552715367763266,100,75,73
3030.139181916448769366968268,100,75,73
3034.101164190819010355927058,101,75,73
3034.101164190819010355927058,101,75,73
3034.101164190819010355927058,101,75,73
3034.458348865984744011981870,102,75,73
3034.458348865984744011981870,102,75,73
3039.946532981862828924125334,102,75,73
3039.946532981862828924125334,102,75,73
3041.655285905770326369324844,102,76,73
3041.655285905770326369324844,102,76,73
3045.454035721654007138670987,102,76,73
3045.454035721654007138670987,102,76,73
3050.658012237187295132901691,103,76,73
3050.658012237187295132901691,103,76,73
3056.175970109303346509467029,103,76,73
3056.175970109303346509467029,103,76,73
3058.330104027116801821751561,103,76,73
3058.330104027116801821751561,103,76,73
3062.745287202876530006424341,103,76,73
3062.745287202876530006424341,103,76,73
3064.196939881940832071439455,103,77,73
3064.196939881940832071439455,103,77,73
3065.595854939706723161552995,104,77,73
3065.595854939706723161552995,104,77,73
3085.653738905924801503633839,104,77,73
3085.653738905924801503633839,104,77,73
3093.283764792616841352913308,104,77,73
3093.283764792616841352913308,104,77,73
3096.742003471141711566151126,104,77,73
3096.742003471141711566151126,104,77,73
3102.872007034389511751838222,104,77,73
3102.872007034389511751838222,104,77,73
3103.984391731826246156101570,105,77,73
3103.984391731826246156101570,105,77,73
3104.111339589526048674873219,105,78,73
3104.111339589526048674873219,105,78,73
3108.311859927472848056707357,105,78,73
3108.311859927472848056707357,105,78,73
3108.630187126955153951502790,105,78,73
3108.630187126955153951502790,105,78,73
3111.934035543171181268707652,105,78,74
3111.934035543171181268707652,105,78,74
3116.700269444750782630638478,105,79,74
3116.700269444750782630638478,105,79,74
3120.571526042059500037129975,105,79,74
3120.571526042059500037129975,105,79,74
3122.013218221574921344197741,105,79,74
3122.013218221574921344197741,105,79,74
3128.404813907742237420240609,105,80,74
3128.404813907742237420240609,105,80,74
3134.015164679672767087726708,105,80,74
3134.015164679672767087726708,105,80,74
3143.512202259265203972194751,105,80,74
3143.512202259265203972194751,105,80,74
3147.567466810316305284912254,105,80,74
3147.567466810316305284912254,105,80,74
3147.907101629905565402301783,105,80,74
3147.907101629905565402301783,105,80,74
3149.783482206532438144931142,106,80,74
3149.783482206532438144931142,106,80,74
3150.733266339674069715149664,106,81,74
3150.733266339674069715149664,106,81,74
3163.165295628715811141807614,106,81,74
3163.165295628715811141807614,106,81,74
3164.427002917563858978345672,106,81,74
3164.427002917563858978345672,106,81,74
3165.286844742742440964923014,106,82,74
3165.286844742742440964923014,106,82,74
3166.650231908108847659667242,107,82,74
3166.650231908108847659667242,107,82,74
3172.791327574447536966962582,107,82,74
3172.791327574447536966962582,107,82,74
3173.091565672028114867609696,107,82,74
3173.091565672028114867609696,107,82,74
3174.299494285296137733643798,108,82,74
3174.299494285296137733643798,108,82,74
3193.242702454955358868705400,108,82,74
3193.242702454955358868705400,108,82,74
3200.147418071504795642812962,108,82,75
3200.147418071504795642812962,108,82,75
3204.001076857939957413302403,108,82,75
3204.001076857939957413302403,108,82,75
3205.648151453738111181014130,108,82,75
3205.648151453738111181014130,108,82,75
3209.154729581596362556817661,108,82,75
3209.154729581596362556817661,108,82,75
3209.554318179665067504503264,108,82,75
3209.554318179665067504503264,108,82,75
3210.002333258571279815175341,108,82,76
3210.002333258571279815175341,108,82,76
3210.574880222492569907034345,108,82,76
3210.574880222492569907034345,108,82,76
3212.912063434403534582296282,109,82,76
3212.912063434403534582296282,109,82,76
3218.717185500213707009310206,109,82,76
3218.717185500213707009310206,109,82,76
3221.192498052202598921912351,109,82,76
3221.192498052202598921912351,109,82,76
3226.034583992825418278572493,110,82,76
3226.034583992825418278572493,110,82,76
3233.324626579686161329863818,110,82,76
3233.324626579686161329863818,110,82,76
3247.619097038059000135735470,110,83,76
3247.619097038059000135735470,110,83,76
3255.740800522831126693535690,110,84,76
3255.740800522831126693535690,110,84,76
3257.525144874674029519590925,110,84,76
3257.525144874674029519590925,110,84,76
3262.150645608956506203202945,110,84,76
3262.150645608956506203202945,110,84,76
3263.968467514178384984214511,111,84,76
3263.968467514178384984214511,111,84,76
3264.512968104347000862009746,111,84,77
3264.512968104347000862009746,111,84,77
3266.558837619495656754754247,111,84,77
3266.558837619495656754754247,111,84,77
3272.916532678966235090701513,111,84,78
3272.916532678966235090701513,111,84,78
3336.161607880020855613546240,111,84,78
3336.161607880020855613546240,111,84,78
3350.976159013637853771095700,111,84,78
3350.976159013637853771095700,111,84,78
3358.241242888098771405603650,111,84,78
3358.241242888098771405603650,111,84,78
3359.707697884885399678745778,111,84,78
3359.707697884885399678745778,111,84,78
3361.224782661676132848095101,111,84,78
3361.224782661676132848095101,111,84,78
3362.806568865565898721948536,112,84,78
3362.806568865565898721948536,112,84,78
3364.354448873239044901840327,112,84,78
3364.354448873239044901840327,112,84,78
3366.360234193247037241315290,112,84,78
3366.360234193247037241315290,112,84,78
3369.733363009814777820128722,112,84,78
3370.925750361301082273280706,113,84,78
3370.925750361301082273280706,113,84,78
3372.345830565531261855728200,113,84,79
3372.345830565531261855728200,113,84,79
3372.345830565531261855728200,113,84,79
3373.617067968349671767459323,113,84,79
3373.617067968349671767459323,113,84,79
3373.983612268214426775148933,113,84,80
3373.983612268214426775148933,113,84,80
3374.563996924332256270085729,113,84,80
3374.563996924332256270085729,113,84,80
3374.897584948217607212828976,113,84,80
3374.897584948217607212828976,113,84,80
3376.310019968774946262147533,113,85,80
3376.310019968774946262147533,113,85,80
3377.774521667353273055912392,113,85,80
3377.774521667353273055912392,113,85,80
3378.220695890950886440041482,113,85,80
3378.220695890950886440041482,113,85,80
3379.024618534243420151842211,113,86,80
3379.024618534243420151842211,113,86,80
3379.265780888996197709795744,113,86,80
3379.265780888996197709795744,113,86,80
3380.456932068747728107661366,113,86,80
3380.456932068747728107661366,113,86,80
3383.888243516580868678667904,114,86,80
3383.888243516580868678667904,114,86,80
3385.680695849704441922401780,114,86,81
3385.680695849704441922401780,114,86,81
3391.144006473976718877617365,114,86,81
3391.144006473976718877617365,114,86,81
3392.847362301123336917663998,114,87,81
3392.847362301123336917663998,114,87,81
3408.035700245444975473919395,114,87,81
3408.035700245444975473919395,114,87,81
3411.922806007275808452328981,114,87,81
3411.922806007275808452328981,114,87,81
3413.450951823065661764667645,115,87,81
3413.450951823065661764667645,115,87,81
3414.458067158808721545449650,115,87,81
3414.458067158808721545449650,115,87,81
3416.160863586503291864705271,115,87,81
3416.160863586503291864705271,115,87,81
3420.933672284792511889884615,115,87,81
3420.933672284792511889884615,115,87,81
3424.272812178106964379532307,115,87,81
3424.272812178106964379532307,115,87,81
3427.683849407197156986871515,115,87,81
3428.230664066832498663496032,115,87,81
3428.230664066832498663496032,115,87,81
3429.277784867870824162872956,116,87,81
3429.277784867870824162872956,116,87,81
3444.874413701894492143896524,116,87,82
3444.874413701894492143896524,116,87,82
3444.874413701894492143896524,116,87,82
3446.616828381903144632781611,116,88,82
3446.616828381903144632781611,116,88,82
3447.127497604265795326018189,116,88,82
3447.127497604265795326018189,116,88,82
3448.476181603638889237362956,116,88,83
3448.476181603638889237362956,116,88,83
3449.814621179490490658126923,116,88,83
3449.814621179490490658126923,116,88,83
3454.371310438932577378313464,116,89,83
3454.371310438932577378313464,116,89,83
3455.402578166121427753255425,117,89,83
3455.402578166121427753255425,117,89,83
3468.482274316781797477760897,117,89,83
3468.482274316781797477760897,117,89,83
3470.703869867570740585295021,117,89,83
3470.703869867570740585295021,117,89,83
3473.079329595759436608904718,117,89,83
3473.079329595759436608904718,117,89,83
3483.454060157855070210320730,117,89,84
3483.454060157855070210320730,117,89,84
3489.686073192844346128383727,117,89,84
3489.686073192844346128383727,117,89,84
3493.577305359074546868059820,118,89,84
3493.577305359074546868059820,118,89,84
3493.786394207916114066692949,118,89,84
3493.786394207916114066692949,118,89,84
3495.152790317314469968113837,118,89,84
3495.152790317314469968113837,118,89,84
3495.383990811208734776128519,118,89,84
3495.383990811208734776128519,118,89,84
3497.691872482353465388161577,118,90,84
3497.691872482353465388161577,118,90,84
3501.124157700453441247946153,118,90,84
3501.124157700453441247946153,118,90,84
3505.359441573346941748768636,118,90,84
3505.359441573346941748768636,118,90,84
3506.339303533837019869801900,119,90,84
3506.339303533837019869801900,119,90,84
3507.269047211552221258502350,119,90,84
3507.269047211552221258502350,119,90,84
